M,N,n,rho,model,R2,MSE
300,100,10,0.01,linreg,0.983232372644824,1.5791411897124097
300,100,10,0.01,pcr,0.08300735173367779,86.36051069526007
300,100,10,0.01,pls,0.9833269740698741,1.5702318190699314
300,100,25,0.01,linreg,0.983232372644824,1.5791411897124097
300,100,25,0.01,pcr,0.24487715443899893,71.11594046429727
300,100,25,0.01,pls,0.9832323759721525,1.5791408763513433
300,100,50,0.01,linreg,0.983232372644824,1.5791411897124097
300,100,50,0.01,pcr,0.4696833167796244,49.9441513295828
300,100,50,0.01,pls,0.983232372644824,1.5791411897124075
200,100,1,0.01,linreg,0.9752571424070092,2.3304100666635
200,100,1,0.01,pcr,0.010338156349757655,93.21146170637253
200,100,1,0.01,pls,0.5935515365673532,38.28141463464903
200,100,10,0.01,linreg,0.9752571424070092,2.3304100666635
200,100,10,0.01,pcr,0.0672850162902009,87.84791244083904
200,100,10,0.01,pls,0.9761807686038314,2.243418183093909
200,100,25,0.01,linreg,0.9752571424070092,2.3304100666635
200,100,25,0.01,pcr,0.20392949596378684,74.97802989843095
200,100,25,0.01,pls,0.975258365940796,2.330294827934802
200,100,50,0.01,linreg,0.9752571424070092,2.3304100666635
200,100,50,0.01,pcr,0.4375012517540786,52.97903609036887
200,100,50,0.01,pls,0.9752571424070887,2.330410066656023
100,100,1,0.01,linreg,-20.372972049969963,2012.9001417662696
100,100,1,0.01,pcr,-0.027314105036924552,96.75213642878553
100,100,1,0.01,pls,0.43946008331073394,52.79148239802533
100,100,10,0.01,linreg,-20.372972049969963,2012.9001417662696
100,100,10,0.01,pcr,0.044443265271048804,89.99404866597965
100,100,10,0.01,pls,0.8667491430905463,12.549526015212908
100,100,25,0.01,linreg,-20.372972049969963,2012.9001417662696
100,100,25,0.01,pcr,0.20787276850990732,74.60230672811697
100,100,25,0.01,pls,0.8926742682350675,10.107905450852115
100,100,50,0.01,linreg,-20.372972049969963,2012.9001417662696
100,100,50,0.01,pcr,0.365732770036461,59.735098802653475
100,100,50,0.01,pls,0.8449743640262559,14.600268221910401
1000,100,1,0.1,linreg,0.9873143630459065,1.1503105523966253
1000,100,1,0.1,pcr,0.015069401262602478,89.3117204288555
1000,100,1,0.1,pls,0.4912902251192167,46.128879792973194
1000,100,10,0.1,linreg,0.9873143630459065,1.1503105523966253
1000,100,10,0.1,pcr,0.09280666788902081,82.26264607504594
1000,100,10,0.1,pls,0.9873143335507073,1.1503132269677936
1000,100,25,0.1,linreg,0.9873143630459065,1.1503105523966253
1000,100,25,0.1,pcr,0.31962431627316545,61.69523307479634
1000,100,25,0.1,pls,0.9873143630459056,1.1503105523967057
1000,100,50,0.1,linreg,0.9873143630459065,1.1503105523966253
1000,100,50,0.1,pcr,0.6531326447619201,31.453302696284293
1000,100,50,0.1,pls,0.9873143630459078,1.1503105523965091
500,100,1,0.1,linreg,0.9851071953840099,1.351203930943452
500,100,1,0.1,pcr,0.014509658282808813,89.41219991601658
500,100,1,0.1,pls,0.42203853546071757,52.43765851737782
500,100,10,0.1,linreg,0.9851071953840099,1.351203930943452
500,100,10,0.1,pcr,0.12097693209361327,79.75256879888407
