K,n_K_ratio,n,N_K_ratio,M,rho,model,R2,MSE
200,0.5,100,5,1000,0.9,pcr,0.8436289009849373,302.7650445162112
200,0.5,100,5,1000,0.9,pls,0.9993374358148427,1.2828539050855152
200,0.8,160,5,1000,0.9,linreg,0.9993379948379645,1.2817715269389165
200,0.8,160,5,1000,0.9,pcr,0.9446024674902964,107.2604624641862
200,0.8,160,5,1000,0.9,pls,0.9993366719035246,1.2843329868704714
200,0.01,2,3,600,0.9,linreg,0.9991927999943772,1.5634887977611784
200,0.01,2,3,600,0.9,pcr,0.6985301373272115,583.9256068733791
200,0.01,2,3,600,0.9,pls,0.9207037551779369,153.5911665265196
200,0.1,20,3,600,0.9,linreg,0.9991927999943772,1.5634887977611784
200,0.1,20,3,600,0.9,pcr,0.7232767267626258,535.9932294011916
200,0.1,20,3,600,0.9,pls,0.9991928054061061,1.563478315628493
200,0.2,40,3,600,0.9,linreg,0.9991927999943772,1.5634887977611784
200,0.2,40,3,600,0.9,pcr,0.7552425150026425,474.07777910791594
200,0.2,40,3,600,0.9,pls,0.9991927999942967,1.5634887979171745
200,0.5,100,3,600,0.9,linreg,0.9991927999943772,1.5634887977611784
200,0.5,100,3,600,0.9,pcr,0.8388261989494878,312.18214900857004
200,0.5,100,3,600,0.9,pls,0.9991928251106135,1.5634401494041508
200,0.8,160,3,600,0.9,linreg,0.9991927999943772,1.5634887977611784
200,0.8,160,3,600,0.9,pcr,0.9386486286839334,118.83322734362935
200,0.8,160,3,600,0.9,pls,0.99919363024213,1.5618806671220835
200,0.01,2,2,400,0.9,linreg,0.998979278726451,1.9772183066571511
200,0.01,2,2,400,0.9,pcr,0.6982828164080617,584.4501866379198
200,0.01,2,2,400,0.9,pls,0.8847940215774223,223.16314499986868
200,0.1,20,2,400,0.9,linreg,0.998979278726451,1.9772183066571511
200,0.1,20,2,400,0.9,pcr,0.7191065839559593,544.112892338058
200,0.1,20,2,400,0.9,pls,0.9989784516965647,1.9788203293382811
200,0.2,40,2,400,0.9,linreg,0.998979278726451,1.9772183066571511
200,0.2,40,2,400,0.9,pcr,0.743010824277921,497.80847721895344
200,0.2,40,2,400,0.9,pls,0.998979277358831,1.9772209558458358
200,0.5,100,2,400,0.9,linreg,0.998979278726451,1.9772183066571511
200,0.5,100,2,400,0.9,pcr,0.8408535619681082,308.2793107876026
200,0.5,100,2,400,0.9,pls,0.998979278726451,1.9772183066571734
200,0.8,160,2,400,0.9,linreg,0.998979278726451,1.9772183066571511
200,0.8,160,2,400,0.9,pcr,0.922849769128679,149.4461346055961
200,0.8,160,2,400,0.9,pls,0.9989789628466338,1.9778301909917904
200,0.01,2,1,200,0.9,linreg,0.5891661579414272,795.8266004977854
200,0.01,2,1,200,0.9,pcr,0.6978269420255225,585.3396990980204
200,0.01,2,1,200,0.9,pls,0.8408533103621795,308.2831939071024
200,0.1,20,1,200,0.9,linreg,0.5891661579414272,795.8266004977854
200,0.1,20,1,200,0.9,pcr,0.7334606947136786,516.3135251034472
200,0.1,20,1,200,0.9,pls,0.9869430011108784,25.292724149904657
200,0.2,40,1,200,0.9,linreg,0.5891661579414272,795.8266004977854
200,0.2,40,1,200,0.9,pcr,0.7745530151110135,436.71355474921717
